325,	-1343,	33,	1387,	-113,	-156,	14
326,	-1280,	-22,	1317,	-130,	-366,	14
327,	-1289,	-29,	1440,	-91,	-351,	-31
328,	-1255,	31,	1524,	-37,	-429,	18
329,	-1156,	-29,	1483,	-36,	-452,	38
330,	-1120,	-17,	1556,	-18,	-619,	9
331,	-950,	-19,	1682,	19,	-765,	-25
332,	-834,	11,	1772,	51,	-746,	-91
333,	-763,	56,	1682,	11,	-897,	-83
334,	-638,	10,	1826,	-69,	-891,	-26
335,	-434,	63,	2005,	135,	-982,	94
336,	-145,	-35,	2071,	239,	-957,	154
337,	-65,	69,	2011,	-224,	-964,	-83
338,	-35,	49,	1815,	-80,	-648,	94
339,	115,	49,	1924,	-39,	-65,	149
340,	66,	65,	1961,	-27,	-207,	190
341,	129,	19,	1925,	-11,	-70,	49
342,	91,	-33,	1927,	34,	-82,	-1
343,	72,	53,	1919,	-47,	-99,	-116
344,	83,	1,	1834,	-136,	-103,	29
345,	135,	-56,	1876,	-133,	-88,	-24
346,	108,	-20,	1925,	-33,	-26,	-28
347,	112,	19,	1873,	-67,	-21,	61
348,	128,	3,	1915,	-71,	-72,	20
349,	160,	15,	1934,	2,	-116,	-31
350,	158,	34,	1925,	-61,	-122,	-103
351,	160,	-4,	1950,	-84,	-107,	-19
352,	177,	-5,	1924,	-30,	-52,	37
353,	193,	0,	1931,	-40,	-37,	21
354,	198,	-18,	1962,	-40,	-94,	35
355,	229,	-15,	1951,	-28,	-111,	14
356,	219,	20,	1945,	-1,	-206,	-19
357,	222,	41,	1830,	32,	-254,	62
358,	322,	12,	1944,	-7,	-368,	71
359,	395,	-2,	1939,	-152,	-394,	80
360,	459,	11,	1924,	-172,	-579,	79
361,	604,	-25,	1953,	3,	-808,	-27
362,	714,	18,	1788,	90,	-864,	-100
363,	810,	19,	1718,	-62,	-742,	1
364,	948,	10,	1761,	-76,	-788,	32
365,	1089,	27,	1719,	33,	-761,	-45
366,	1220,	-13,	1671,	74,	-730,	-91
367,	1309,	39,	1634,	92,	-883,	-149
